indicator_id,region_id,date,value
ZSFH,14201,2022-02-28,183290.0
ZSFH,14201,2022-01-31,182232.0
ZSFH,14201,2021-12-31,179543.0
ZSFH,14201,2021-11-30,177664.0
ZSFH,14201,2021-10-31,175912.0
ZSFH,14201,2021-09-30,176482.0
ZSFH,14201,2021-08-31,175135.0
ZSFH,14201,2021-07-31,190703.0
ZSFH,14201,2021-06-30,196823.0
ZSFH,14201,2021-05-31,197894.0
ZSFH,14201,2021-04-30,171866.0
ZSFH,14201,2021-03-31,165968.0
ZSFH,14201,2021-02-28,163459.0
ZSFH,14208,2022-03-31,209358.0
ZSFH,14208,2022-02-28,207111.0
ZSFH,14208,2022-01-31,204323.0
ZSFH,14208,2021-12-31,202333.0
ZSFH,14208,2021-11-30,199976.0
ZSFH,14208,2021-10-31,198375.0
ZSFH,14208,2021-09-30,196376.0
ZSFH,14208,2021-08-31,193958.0
ZSFH,14208,2021-07-31,192226.0
ZSFH,14208,2021-06-30,190281.0
ZSFH,14208,2021-05-31,188130.0
ZSFH,14208,2021-04-30,183932.0
ZSFH,14208,2021-03-31,181660.0
ZSFH,14208,2021-02-28,179116.0
ZSFH,14208,2021-01-31,177665.0
ZSFH,14208,2020-12-31,175530.0
ZSFH,14208,2020-11-30,174400.0
ZSFH,14208,2020-10-31,173165.0
ZSFH,14208,2020-09-30,171711.0
ZSFH,14208,2020-08-31,170731.0
ZSFH,14208,2020-07-31,170647.0
ZSFH,14208,2020-06-30,167999.0
ZSFH,14208,2020-05-31,166514.0
ZSFH,14208,2020-04-30,165317.0
ZSFH,14208,2020-03-31,164939.0
ZSFH,14208,2020-02-29,164616.0
ZSFH,14208,2020-01-31,164347.0
ZSFH,14208,2019-12-31,163898.0
ZSFH,14208,2019-11-30,163476.0
ZSFH,14208,2019-10-31,163002.0
ZSFH,14208,2019-09-30,162626.0
ZSFH,14208,2019-08-31,162211.0
ZSFH,14208,2019-07-31,162092.0
ZSFH,14208,2019-06-30,162079.0
ZSFH,14208,2019-05-31,162095.0
ZSFH,14208,2019-04-30,161482.0
ZSFH,14208,2019-03-31,160799.0
ZSFH,14208,2019-02-28,160007.0
ZSFH,14208,2019-01-31,158927.0
ZSFH,14208,2018-12-31,158361.0
ZSFH,14208,2018-11-30,157919.0
ZSFH,14208,2018-10-31,157509.0
ZSFH,14208,2018-09-30,156941.0
ZSFH,14208,2018-08-31,156470.0
ZSFH,14208,2018-07-31,156004.0
ZSFH,14208,2018-06-30,155586.0
ZSFH,14208,2018-05-31,154778.0
ZSFH,14208,2018-04-30,154176.0
ZSFH,14208,2018-03-31,153435.0
ZSFH,14208,2018-02-28,152660.0
ZSFH,14208,2018-01-31,152203.0
ZSFH,14208,2017-12-31,150993.0
ZSFH,14208,2017-11-30,149929.0
ZSFH,14208,2017-10-31,149001.0
ZSFH,14208,2017-09-30,148264.0
ZSFH,14208,2017-08-31,147203.0
ZSFH,14208,2017-07-31,145963.0
ZSFH,14208,2017-06-30,144676.0
ZSFH,14208,2017-05-31,143782.0
ZSFH,14208,2017-04-30,142825.0
ZSFH,14208,2017-03-31,142099.0
ZSFH,14208,2017-02-28,141857.0
ZSFH,14208,2017-01-31,141934.0
ZSFH,14208,2016-12-31,142992.0
ZSFH,14208,2016-11-30,143415.0
ZSFH,14208,2016-10-31,143803.0
ZSFH,14208,2016-09-30,143958.0
ZSFH,14208,2016-08-31,144789.0
ZSFH,14208,2016-07-31,145906.0
ZSFH,14208,2016-06-30,147075.0
ZSFH,14208,2016-05-31,148380.0
ZSFH,14208,2016-04-30,149290.0
ZSFH,14208,2016-03-31,149301.0
ZSFH,14208,2016-02-29,149044.0
ZSFH,14208,2016-01-31,148348.0
ZSFH,14208,2015-12-31,147746.0
ZSFH,14208,2015-11-30,147096.0
ZSFH,14208,2015-10-31,146967.0
ZSFH,14208,2015-09-30,147194.0
ZSFH,14208,2015-08-31,147250.0
ZSFH,14208,2015-07-31,146984.0
ZSFH,14208,2015-06-30,146540.0
ZSFH,14208,2015-05-31,145726.0
ZSFH,14208,2015-04-30,145670.0
ZSFH,14208,2015-03-31,146405.0
ZSFH,14208,2015-02-28,146832.0
ZSFH,14208,2015-01-31,146830.0
ZSFH,14208,2014-12-31,146321.0
ZSFH,14208,2014-11-30,146612.0
ZSFH,14208,2014-10-31,146645.0
ZSFH,14208,2014-09-30,146260.0
ZSFH,14208,2014-08-31,145621.0
ZSFH,14208,2014-07-31,144819.0
ZSFH,14208,2014-06-30,143828.0
ZSFH,14208,2014-05-31,142796.0
ZSFH,14208,2014-04-30,141845.0
ZSFH,14208,2014-03-31,141284.0
ZSFH,14208,2014-02-28,141054.0
ZSFH,14208,2014-01-31,141465.0
ZSFH,14208,2013-12-31,141444.0
ZSFH,14208,2013-11-30,141050.0
ZSFH,14208,2013-10-31,139859.0
ZSFH,14208,2013-09-30,139114.0
ZSFH,14208,2013-08-31,138632.0
ZSFH,14208,2013-07-31,138645.0
ZSFH,14208,2013-06-30,139009.0
ZSFH,14208,2013-05-31,139988.0
ZSFH,14208,2013-04-30,140556.0
ZSFH,14208,2013-03-31,140863.0
ZSFH,14208,2013-02-28,140801.0
ZSFH,14208,2013-01-31,140394.0
ZSFH,14208,2012-12-31,140271.0
ZSFH,14208,2012-11-30,140229.0
ZSFH,14208,2012-10-31,140958.0
ZSFH,14208,2012-09-30,141496.0
ZSFH,14208,2012-08-31,141505.0
ZSFH,14208,2012-07-31,141257.0
ZSFH,14208,2012-06-30,141153.0
ZSFH,14208,2012-05-31,140187.0
