indicator_id,region_id,date,value
ZABT,14201,2022-02-28,153195.0
ZABT,14201,2022-01-31,150226.0
ZABT,14201,2021-12-31,148830.0
ZABT,14201,2021-11-30,148129.0
ZABT,14201,2021-10-31,148069.0
ZABT,14201,2021-09-30,148436.0
ZABT,14201,2021-08-31,148808.0
ZABT,14201,2021-07-31,161460.0
ZABT,14201,2021-06-30,162761.0
ZABT,14201,2021-05-31,160173.0
ZABT,14201,2021-04-30,147684.0
ZABT,14201,2021-03-31,137807.0
ZABT,14201,2021-02-28,130437.0
ZABT,14208,2022-03-31,120516.0
ZABT,14208,2022-02-28,119177.0
ZABT,14208,2022-01-31,117541.0
ZABT,14208,2021-12-31,116650.0
ZABT,14208,2021-11-30,115074.0
ZABT,14208,2021-10-31,113903.0
ZABT,14208,2021-09-30,112547.0
ZABT,14208,2021-08-31,111080.0
ZABT,14208,2021-07-31,109660.0
ZABT,14208,2021-06-30,108380.0
ZABT,14208,2021-05-31,107155.0
ZABT,14208,2021-04-30,104943.0
ZABT,14208,2021-03-31,103980.0
ZABT,14208,2021-02-28,100543.0
ZABT,14208,2021-01-31,99498.0
ZABT,14208,2020-12-31,98329.0
ZABT,14208,2020-11-30,99522.0
ZABT,14208,2020-10-31,97108.0
ZABT,14208,2020-09-30,97421.0
ZABT,14208,2020-08-31,97065.0
ZABT,14208,2020-07-31,97819.0
ZABT,14208,2020-06-30,95013.0
ZABT,14208,2020-05-31,94025.0
ZABT,14208,2020-04-30,94040.0
ZABT,14208,2020-03-31,93805.0
ZABT,14208,2020-02-29,93616.0
ZABT,14208,2020-01-31,93413.0
ZABT,14208,2019-12-31,93081.0
ZABT,14208,2019-11-30,92798.0
ZABT,14208,2019-10-31,92531.0
ZABT,14208,2019-09-30,92355.0
ZABT,14208,2019-08-31,92221.0
ZABT,14208,2019-07-31,92298.0
ZABT,14208,2019-06-30,92280.0
ZABT,14208,2019-05-31,92325.0
ZABT,14208,2019-04-30,91885.0
ZABT,14208,2019-03-31,91532.0
ZABT,14208,2019-02-28,91113.0
ZABT,14208,2019-01-31,90592.0
ZABT,14208,2018-12-31,90442.0
ZABT,14208,2018-11-30,90257.0
ZABT,14208,2018-10-31,90003.0
ZABT,14208,2018-09-30,89540.0
ZABT,14208,2018-08-31,89138.0
ZABT,14208,2018-07-31,88648.0
ZABT,14208,2018-06-30,88297.0
ZABT,14208,2018-05-31,87748.0
ZABT,14208,2018-04-30,87433.0
ZABT,14208,2018-03-31,86956.0
ZABT,14208,2018-02-28,86459.0
ZABT,14208,2018-01-31,86101.0
ZABT,14208,2017-12-31,85244.0
ZABT,14208,2017-11-30,84511.0
ZABT,14208,2017-10-31,83918.0
ZABT,14208,2017-09-30,83544.0
ZABT,14208,2017-08-31,82868.0
ZABT,14208,2017-07-31,82128.0
ZABT,14208,2017-06-30,81359.0
ZABT,14208,2017-05-31,80827.0
ZABT,14208,2017-04-30,80235.0
ZABT,14208,2017-03-31,79787.0
ZABT,14208,2017-02-28,79519.0
ZABT,14208,2017-01-31,79512.0
ZABT,14208,2016-12-31,80024.0
ZABT,14208,2016-11-30,80295.0
ZABT,14208,2016-10-31,80444.0
ZABT,14208,2016-09-30,80441.0
ZABT,14208,2016-08-31,80730.0
ZABT,14208,2016-07-31,81256.0
ZABT,14208,2016-06-30,81742.0
ZABT,14208,2016-05-31,82447.0
ZABT,14208,2016-04-30,82918.0
ZABT,14208,2016-03-31,82898.0
ZABT,14208,2016-02-29,82798.0
ZABT,14208,2016-01-31,82195.0
ZABT,14208,2015-12-31,81801.0
ZABT,14208,2015-11-30,81159.0
ZABT,14208,2015-10-31,81035.0
ZABT,14208,2015-09-30,80990.0
ZABT,14208,2015-08-31,81121.0
